row,col,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_8,EVI_9,EVI_10,EVI_11,EVI_12,EVI_13,EVI_14,EVI_15,EVI_16,EVI_17,EVI_18,EVI_19,EVI_20,EVI_21,EVI_22,EVI_23,EVI_24,EVI_25,EVI_26,EVI_27,EVI_28,EVI_29,EVI_30,EVI_31,EVI_32,EVI_33,EVI_34,EVI_35,EVI_36,EVI_37,EVI_38,EVI_39,EVI_40,EVI_41,EVI_42,EVI_43,EVI_44,EVI_45,EVI_46
15,2,-0.089499,-0.071461,-0.053423,-0.053483,-0.053542,-0.040237,0.039644,-0.001082,-0.041994,0.049258,0.140511,0.234058,0.248349,0.290558,0.438853,0.306737,0.337184,0.333183,0.363504,0.018175,-0.155910,-0.037245,0.081420,0.129652,0.177883,0.228845,0.279806,0.416499,0.515797,0.515258,0.514718,0.340515,0.353455,0.366396,0.330864,0.210834,0.264567,0.081313,0.061708,0.042103,0.022498,0.002892,-0.003817,-0.010526,-0.011984,-0.051020
15,3,-0.044069,-0.009695,0.024678,0.046916,0.069154,0.008953,0.091355,-0.001082,0.098775,0.217896,0.337018,0.396584,0.435061,0.290558,0.438853,0.501026,0.480189,0.454782,0.363504,0.109428,-0.052020,0.005456,0.062931,0.120407,0.177883,0.337377,0.496871,0.393599,0.515797,0.630701,0.651194,0.630576,0.524081,0.417585,0.559641,0.299356,0.364580,0.081313,0.101332,0.076689,0.052045,0.027402,0.008965,0.036637,0.038260,0.017176
15,4,-0.044069,-0.009695,0.024678,0.031608,0.038537,-0.027237,0.158599,0.046700,0.088323,0.212671,0.337018,0.449757,0.485873,0.467318,0.709125,0.543369,0.550050,0.591586,0.538670,0.109428,0.006849,0.064928,0.123007,0.181086,0.239165,0.375483,0.511801,0.592244,0.666354,0.701990,0.737626,0.713624,0.646580,0.579535,0.559641,0.465806,0.364580,0.214389,0.211916,0.138787,0.065657,-0.007472,-0.014079,0.017425,0.038260,0.002303
15,8,-0.112374,-0.112374,-0.112374,-0.095029,-0.077683,-0.076677,-0.027151,-0.017821,-0.019175,0.212548,0.196306,0.398667,0.516911,0.583644,0.650377,0.478453,0.468788,0.454895,0.494643,-0.010833,-0.149221,-0.065357,0.018507,0.102371,0.186235,0.350824,0.515413,0.547265,0.648672,0.756399,0.733177,0.711629,0.655288,0.598948,0.592206,0.390933,0.390132,0.236812,0.132322,0.080761,0.029201,-0.022359,-0.065557,0.082260,0.065100,0.065100
15,9,-0.126807,-0.126807,-0.126807,-0.117708,-0.108608,-0.076677,-0.104598,-0.017821,-0.023765,0.212548,0.196306,0.394464,0.506505,0.585807,0.665109,0.490001,0.485531,0.462149,0.489773,-0.014147,-0.119729,-0.083209,-0.046689,-0.010168,0.170772,0.326868,0.482964,0.530300,0.633805,0.760831,0.747908,0.711629,0.659671,0.607714,0.592206,0.400225,0.298541,0.196857,0.095172,0.071011,0.046851,0.022690,-0.055648,-0.013676,0.036456,0.036456
15,10,-0.126807,-0.126807,-0.126807,-0.117708,-0.108608,-0.076677,-0.104598,-0.017821,-0.023765,0.212548,0.196306,0.394464,0.506505,0.585807,0.665109,0.490001,0.485531,0.462149,0.489773,-0.014147,-0.119729,-0.083209,-0.046689,-0.010168,0.170772,0.326868,0.482964,0.530300,0.633805,0.760831,0.747908,0.711629,0.659671,0.607714,0.592206,0.400225,0.298541,0.196857,0.095172,0.071011,0.046851,0.022690,-0.055648,-0.013676,0.036456,0.036456
15,11,-0.089781,-0.089781,-0.089781,-0.081851,-0.073920,-0.051330,-0.068453,-0.014671,0.028222,0.212548,0.256918,0.422482,0.457100,0.561105,0.665109,0.495717,0.500462,0.465035,0.483238,0.015913,-0.124781,-0.062091,0.000600,0.063290,0.210193,0.343113,0.476034,0.474762,0.657071,0.760831,0.747908,0.682888,0.614362,0.545835,0.572717,0.401166,0.299168,0.197170,0.095172,0.058659,0.022146,-0.014367,-0.055648,-0.013676,0.036456,0.036456
15,12,-0.146025,-0.146025,-0.146025,-0.116343,-0.086662,-0.064589,-0.068453,-0.014671,-0.023789,0.099391,0.222572,0.394392,0.426147,0.464212,0.675168,0.494610,0.496128,0.474508,0.489069,0.053934,-0.059159,-0.022296,0.014567,0.051430,0.210193,0.347231,0.484269,0.474762,0.657071,0.766015,0.704587,0.271323,0.408579,0.545835,0.572717,0.401166,0.334170,0.267174,0.200178,0.133182,0.066186,-0.000810,-0.010104,0.021817,0.011676,-0.025295
15,13,-0.146025,-0.146025,-0.146025,-0.138195,-0.130365,-0.074576,-0.103925,-0.033530,-0.043932,0.084328,0.212588,0.405396,0.473994,0.464212,0.675168,0.491307,0.543496,0.462574,0.489069,0.005914,-0.059159,-0.022296,0.014567,0.051430,0.183970,0.340007,0.496044,0.413357,0.658727,0.766015,0.905148,0.777439,0.649731,0.522022,0.607807,0.441899,0.412375,0.320291,0.228207,0.136123,0.044039,-0.048044,-0.091730,-0.045616,-0.014562,-0.060046
15,49,-0.296177,-0.441279,-0.327484,-0.327629,-0.327774,-0.411799,-0.281320,-0.257526,-0.233732,-0.214951,-0.196170,-0.193246,-0.190323,-0.213461,-0.195699,-0.177938,-0.182755,-0.152753,-0.181263,-0.264039,-0.327231,-0.268802,-0.210373,-0.187808,-0.165242,-0.142676,-0.120111,0.129835,-0.155078,-0.117858,-0.024664,0.064048,0.152759,-0.003281,-0.159321,-0.167984,-0.146952,-0.183300,-0.244859,-0.306418,-0.297911,-0.289405,-0.319835,-0.220004,-0.307234,-0.348527
15,50,-0.296177,-0.464039,-0.327484,-0.356683,-0.385883,-0.357607,-0.281320,-0.270884,-0.260447,-0.222325,-0.184203,-0.243756,-0.380478,-0.225453,-0.180417,-0.135381,-0.207933,-0.152753,-0.247716,-0.287813,-0.248523,-0.226851,-0.276315,-0.325779,-0.375244,-0.247677,-0.120111,0.134951,0.128803,0.122655,-0.039913,-0.175987,-0.116698,-0.150218,-0.183737,-0.167984,-0.215431,-0.220675,-0.445614,-0.314438,-0.300528,-0.286617,-0.319835,-0.224220,-0.315456,-0.357316
15,51,-0.355468,-0.488765,-0.327484,-0.344146,-0.360808,-0.344963,-0.254288,-0.242598,-0.230909,-0.189822,-0.148735,-0.243756,-0.353575,-0.225453,-0.215026,-0.204598,-0.207933,-0.118063,-0.132696,-0.257015,-0.379753,-0.226851,-0.276315,-0.325779,-0.375244,-0.247677,-0.120111,0.134951,0.128803,0.122655,-0.039913,-0.071896,-0.103878,-0.135861,-0.167843,-0.160426,-0.188646,-0.216867,-0.363848,-0.314438,-0.300528,-0.286617,-0.362094,-0.236028,-0.336214,-0.313150
15,52,-0.322437,-0.493506,-0.279748,-0.293330,-0.306912,-0.344963,-0.218329,-0.214110,-0.209892,-0.179314,-0.148735,-0.251583,-0.260138,-0.259092,-0.209571,-0.160050,-0.170970,-0.118063,-0.132696,-0.212807,-0.330296,-0.226851,-0.269784,-0.312717,-0.355650,-0.267172,-0.178694,-0.141256,-0.103819,0.161799,0.027188,-0.130817,-0.099292,-0.083790,-0.131844,-0.179898,-0.149910,-0.119922,-0.363848,-0.330771,-0.307640,-0.284510,-0.362094,-0.235824,-0.336214,-0.355951
16,1,0.045983,0.032788,0.019593,0.036176,0.052759,0.008966,0.008615,0.027182,0.045749,0.135473,0.225197,0.265337,0.363765,0.368769,0.438853,0.412403,0.436337,0.357429,0.458543,0.089541,-0.007802,0.055193,0.118189,0.181184,0.244179,0.340116,0.436052,0.546968,0.515797,0.620191,0.549360,0.478528,0.465603,0.452678,0.403144,0.237240,0.231699,0.048841,0.041820,0.034799,0.027779,0.020758,0.054503,0.033274,0.028981,0.012012
16,2,0.009683,0.029662,0.049641,0.059397,0.069154,0.064801,0.116745,0.123672,0.130599,0.233500,0.336401,0.396584,0.444046,0.368769,0.548205,0.463589,0.468649,0.483094,0.458543,0.102766,-0.024200,-0.025346,-0.026492,0.108844,0.244179,0.380036,0.515893,0.393599,0.515797,0.682165,0.651194,0.635068,0.593726,0.552383,0.552234,0.254327,0.285457,0.048841,0.043481,0.038121,0.032762,0.027402,-0.006145,0.005310,0.010136,-0.003458
16,3,0.009683,0.008837,0.007992,0.009493,0.010995,-0.022331,0.072847,0.060212,0.047577,0.191989,0.336401,0.427078,0.485873,0.441813,0.709125,0.552235,0.617313,0.552398,0.519605,0.214101,0.002912,0.064655,0.126398,0.188141,0.249884,0.382889,0.515893,0.607966,0.700038,0.698394,0.753737,0.701651,0.664196,0.626740,0.552234,0.433487,0.285457,0.200711,0.154118,0.107526,0.060933,0.014341,-0.006463,0.005310,0.010136,-0.005310
16,4,0.009683,0.008837,0.007992,0.009493,0.010995,-0.022331,0.072847,0.060212,0.047577,0.191989,0.336401,0.427078,0.485873,0.441813,0.709125,0.552235,0.617313,0.552398,0.519605,0.214101,0.002912,0.064655,0.126398,0.188141,0.249884,0.382889,0.515893,0.607966,0.700038,0.698394,0.753737,0.701651,0.664196,0.626740,0.552234,0.433487,0.285457,0.200711,0.154118,0.107526,0.060933,0.014341,-0.006463,0.005310,0.010136,-0.005310
