row,col,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_8,EVI_9,EVI_10,EVI_11,EVI_12,EVI_13,EVI_14,EVI_15,EVI_16,EVI_17,EVI_18,EVI_19,EVI_20,EVI_21,EVI_22,EVI_23,EVI_24,EVI_25,EVI_26,EVI_27,EVI_28,EVI_29,EVI_30,EVI_31,EVI_32,EVI_33,EVI_34,EVI_35,EVI_36,EVI_37,EVI_38,EVI_39,EVI_40,EVI_41,EVI_42,EVI_43,EVI_44,EVI_45,EVI_46
38,44,0.333783,0.359539,0.385295,0.354080,0.322865,0.336934,0.417015,0.343252,0.415962,0.476966,0.537969,0.591008,0.543200,0.644314,0.753349,0.664795,0.594017,0.495107,0.441902,0.266543,0.174875,0.111074,0.133315,0.144420,0.179414,0.317565,0.455716,0.546362,0.637009,0.674348,0.664220,0.654091,0.620463,0.586834,0.553206,0.379800,0.361007,0.260170,0.239602,0.206998,0.212055,0.217112,0.208962,0.200811,0.192661,0.180277
38,45,0.394841,0.407576,0.420311,0.407781,0.395251,0.391297,0.401476,0.343252,0.504937,0.449450,0.393962,0.591008,0.541481,0.644314,0.753349,0.682498,0.602620,0.491464,0.441902,0.270185,0.214265,0.104713,0.195169,0.192677,0.190185,0.392330,0.594476,0.615743,0.637009,0.674348,0.661329,0.615866,0.594979,0.574093,0.553206,0.229010,0.336203,0.260170,0.239602,0.262094,0.296532,0.330969,0.335753,0.340536,0.345320,0.261882
38,46,0.420311,0.420311,0.420311,0.407733,0.395155,0.248169,0.401476,0.325989,0.370317,0.382460,0.394602,0.591008,0.628635,0.640415,0.749840,0.682498,0.623283,0.491464,0.462284,0.269250,0.189326,0.127980,0.161688,0.191082,0.220476,0.388864,0.557253,0.607061,0.656870,0.674348,0.661329,0.665411,0.635417,0.605424,0.575431,0.393869,0.362564,0.293600,0.232310,0.248474,0.270022,0.291570,0.283930,0.276290,0.268649,0.268649
38,48,0.195593,0.195593,0.195593,0.216023,0.236453,0.181627,0.322161,0.288153,0.226553,0.284494,0.342435,0.536862,0.598831,0.489610,0.622289,0.705892,0.661883,0.537342,0.460334,0.274676,0.179126,0.110922,0.145110,0.178364,0.211618,0.349173,0.486727,0.571954,0.657180,0.725017,0.706313,0.647024,0.617027,0.587031,0.557034,0.480675,0.418867,0.376494,0.334122,0.232748,0.224165,0.215582,0.213344,0.211106,0.208868,0.285020
38,49,0.195593,0.195593,0.195593,0.216023,0.236453,0.181627,0.322161,0.288153,0.226553,0.284494,0.342435,0.536862,0.598831,0.489610,0.622289,0.705892,0.661883,0.537342,0.460334,0.274676,0.179126,0.110922,0.145110,0.178364,0.211618,0.349173,0.486727,0.571954,0.657180,0.725017,0.706313,0.647024,0.617027,0.587031,0.557034,0.480675,0.418867,0.376494,0.334122,0.232748,0.224165,0.215582,0.213344,0.211106,0.208868,0.285020
38,50,0.341503,0.335520,0.329538,0.282995,0.236453,0.308564,0.322161,0.350609,0.379057,0.419637,0.460217,0.576172,0.603319,0.489610,0.616431,0.694546,0.638611,0.537342,0.460334,0.269465,0.195226,0.136561,0.181443,0.212855,0.244267,0.436634,0.629001,0.643090,0.657180,0.652507,0.706313,0.600170,0.585791,0.571413,0.557034,0.266629,0.418867,0.327274,0.235681,0.245132,0.265094,0.285057,0.305019,0.324981,0.335825,0.285020
38,51,0.327566,0.327566,0.363710,0.362926,0.362141,0.390971,0.423038,0.437075,0.451112,0.445830,0.440548,0.613553,0.603319,0.475766,0.625000,0.670572,0.613350,0.540439,0.467527,0.279469,0.213228,0.136561,0.181443,0.212855,0.244267,0.418302,0.592337,0.624906,0.657475,0.652507,0.637394,0.575850,0.532195,0.488540,0.444885,0.217835,0.187657,0.188297,0.188938,0.254155,0.283448,0.312740,0.310900,0.376928,0.417292,0.351076
38,52,0.356519,0.372720,0.355352,0.382284,0.409216,0.419189,0.423038,0.433787,0.444535,0.442541,0.440548,0.613553,0.530269,0.475766,0.616494,0.688185,0.627403,0.547465,0.467527,0.281659,0.219205,0.229331,0.239456,0.249647,0.259837,0.411766,0.563694,0.594379,0.625063,0.652507,0.627186,0.588862,0.524230,0.459598,0.394966,0.188588,0.148997,0.168417,0.187837,0.279192,0.306002,0.332811,0.353557,0.376928,0.417292,0.417292
39,0,0.202456,0.202456,0.202456,0.208789,0.215123,0.237936,0.229092,0.322630,0.338403,0.374706,0.411008,0.511645,0.526992,0.631036,0.653451,0.635580,0.586298,0.590195,0.555070,0.207722,0.177256,0.180907,0.184559,0.188210,0.246854,0.364042,0.481230,0.615231,0.659341,0.727793,0.669193,0.610593,0.635444,0.660294,0.492617,0.376067,0.318346,0.270897,0.295812,0.257932,0.220053,0.182173,0.152981,0.188817,0.196696,0.204575
39,1,0.252983,0.252983,0.252983,0.231948,0.210913,0.219356,0.271290,0.293865,0.275296,0.343152,0.411008,0.519135,0.516434,0.490737,0.670105,0.630582,0.533821,0.590195,0.527550,0.201661,0.172833,0.177959,0.183084,0.188210,0.226755,0.361629,0.496502,0.608460,0.618295,0.654650,0.691006,0.677321,0.714836,0.752352,0.552006,0.377516,0.318346,0.264283,0.295812,0.276910,0.258008,0.239106,0.216128,0.188817,0.191932,0.195048
